DSA Sheet

Arrays
Hard,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1 ,unsolved
Hard,https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/ ,unsolved
Hard,https://www.spoj.com/problems/AGGRCOW/ ,unsolved
Hard,https://leetcode.com/problems/search-in-rotated-sorted-array/ ,unsolved
Hard,https://leetcode.com/problems/count-of-smaller-numbers-after-self/ ,unsolved
Hard,https://leetcode.com/problems/split-array-largest-sum/ ,unsolved

Linked List
Easy,https://leetcode.com/problems/middle-of-the-linked-list/ ,unsolved
Easy,https://leetcode.com/problems/linked-list-cycle/ ,unsolved
Easy,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/ ,unsolved
Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/ ,unsolved
Easy,https://www.geeksforgeeks.org/sort-a-linked-list-of-0s-1s-or-2s/ ,unsolved
Easy,https://leetcode.com/problems/remove-linked-list-elements/ ,unsolved
Easy,https://leetcode.com/problems/merge-two-sorted-lists/ ,unsolved
Easy,https://www.geeksforgeeks.org/multiply-two-numbers-represented-linked-lists/ ,unsolved
Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/ ,unsolved
Easy,https://www.geeksforgeeks.org/given-only-a-pointer-to-a-node-to-be-deleted-in-a-singly-linked-list-how-do-you-delete-it/ ,unsolved
Easy,https://leetcode.com/problems/palindrome-linked-list/ ,unsolved
Easy,https://leetcode.com/problems/reverse-linked-list/ ,unsolved
Medium,https://leetcode.com/problems/add-two-numbers/ ,unsolved
Medium,https://leetcode.com/problems/copy-list-with-random-pointer/ ,unsolved
Medium,https://leetcode.com/problems/add-two-numbers-ii/ ,unsolved
Medium,https://leetcode.com/problems/reverse-linked-list-ii/ ,unsolved
Medium,https://leetcode.com/problems/reorder-list/ ,unsolved
Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/ ,unsolved
Medium,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/ ,unsolved
Medium,https://leetcode.com/problems/partition-list/ ,unsolved
Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/ ,unsolved
Medium,https://www.geeksforgeeks.org/linked-list-in-zig-zag-fashion/ ,unsolved
Medium,https://leetcode.com/problems/sort-list/ ,unsolved
Medium,https://www.geeksforgeeks.org/segregate-even-and-odd-elements-in-a-linked-list/ ,unsolved
Medium,https://www.geeksforgeeks.org/rearrange-a-given-linked-list-in-place/ ,unsolved
Hard,https://leetcode.com/problems/merge-k-sorted-lists/ ,unsolved
Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/ ,unsolved
Hard,https://www.geeksforgeeks.org/merge-sort-for-linked-list/ ,unsolved
Hard,https://www.geeksforgeeks.org/flattening-a-linked-list/ ,unsolved
Hard,https://www.geeksforgeeks.org/subtract-two-numbers-represented-as-linked-lists/ ,unsolved

Stacks and Queues ,unsolved
Easy,https://leetcode.com/problems/implement-queue-using-stacks/ ,unsolved
Easy,https://leetcode.com/problems/backspace-string-compare/ ,unsolved
Easy,https://leetcode.com/problems/implement-stack-using-queues/ ,unsolved
